WKT,name,description
"POINT (144.9544476 -37.8123135)",Point 129,
"POINT (144.9539326 -37.8124661)",Point 130,
"POINT (144.9513577 -37.8131442)",Point 131,
"POINT (144.9559389 -37.8107031)",Point 132,
"POINT (144.9570225 -37.810381)",Point 133,
"POINT (144.9583958 -37.8099614)",Point 134,
"POINT (144.9608634 -37.8092579)",Point 135,
"POINT (144.9610995 -37.8097876)",Point 136,
"POINT (144.9635671 -37.8090608)",Point 137,
"POINT (144.9593051 -37.809688)",Point 138,
"POINT (144.9588277 -37.8086412)",Point 139,
"POINT (144.9625318 -37.8087821)",Point 140,
"POINT (144.961998 -37.8076187)",Point 141,
"POINT (144.9603579 -37.808158)",Point 142,
"POINT (144.956765 -37.8098893)",Point 143,
"POINT (144.9568831 -37.809421)",Point 144,
"POINT (144.9554722 -37.8096732)",Point 145,
"POINT (144.956529 -37.8093871)",Point 146,
"POINT (144.9582188 -37.8095376)",Point 147,
"POINT (144.9578567 -37.8088934)",Point 148,
"POINT (144.9555168 -37.8090941)",Point 150,
"POINT (144.9560694 -37.8059069)",Point 151,
"POINT (144.958317 -37.8061781)",Point 152,
"POINT (144.9580917 -37.8076849)",Point 153,
"POINT (144.9595214 -37.8062629)",Point 154,
"POINT (144.9598727 -37.8070957)",Point 155,
"POINT (144.9614391 -37.8065977)",Point 156,
"POINT (144.9628875 -37.8066909)",Point 157,
"POINT (144.9627695 -37.807403)",Point 158,
"POINT (144.9638243 -37.8096169)",Point 159,
"POINT (144.9658566 -37.8070167)",Point 160,
"POINT (144.9658656 -37.8077789)",Point 161,
"POINT (144.9677351 -37.8072661)",Point 162,
"POINT (144.9687543 -37.8073508)",Point 163,
"POINT (144.9687329 -37.8081391)",Point 164,
"POINT (144.9662545 -37.8088851)",Point 165,
"POINT (144.9704656 -37.8076127)",Point 166,
"POINT (144.9696421 -37.8101344)",Point 167,
"POINT (144.9642635 -37.8105863)",Point 168,
"POINT (144.9667338 -37.8098531)",Point 169,
"POINT (144.9667652 -37.8087442)",Point 170,
"POINT (144.9671354 -37.8097508)",Point 171,
"POINT (144.9679669 -37.8083882)",Point 172,
"POINT (144.9684041 -37.8093757)",Point 173,
"POINT (144.9692034 -37.8091532)",Point 174,
"POINT (144.9716254 -37.8084433)",Point 175,
"POINT (144.9647536 -37.8116071)",Point 176,
"POINT (144.9671998 -37.8108294)",Point 177,
"POINT (144.9675726 -37.8107235)",Point 178,
"POINT (144.9688305 -37.8103802)",Point 179,
"POINT (144.9643143 -37.8117168)",Point 180,
"POINT (144.9638637 -37.8107272)",Point 181,
"POINT (144.9647381 -37.8126661)",Point 182,
"POINT (144.9651699 -37.8125411)",Point 183,
"POINT (144.9657976 -37.8123801)",Point 184,
"POINT (144.9653523 -37.8114223)",Point 185,
"POINT (144.9664118 -37.8110938)",Point 186,
"POINT (144.9668034 -37.8109624)",Point 187,
"POINT (144.966841 -37.8120686)",Point 188,
"POINT (144.9672621 -37.811952)",Point 189,
"POINT (144.9676537 -37.8118334)",Point 190,
"POINT (144.9690806 -37.8114053)",Point 191,
"POINT (144.9700945 -37.8111214)",Point 192,
"POINT (144.9720659 -37.8094346)",Point 193,
"POINT (144.9725111 -37.8103966)",Point 194,
"POINT (144.9708643 -37.8108798)",Point 195,
"POINT (144.9712076 -37.810795)",Point 196,
"POINT (144.9729886 -37.8114011)",Point 197,
"POINT (144.9729027 -37.8125136)",Point 198,
"POINT (144.9724897 -37.8126343)",Point 199,
"POINT (144.9724816 -37.8115536)",Point 200,
"POINT (144.9720686 -37.8116681)",Point 201,
"POINT (144.9716099 -37.8117846)",Point 202,
"POINT (144.9713202 -37.8118821)",Point 203,
"POINT (144.9705451 -37.8120982)",Point 204,
"POINT (144.9684583 -37.8115939)",Point 205,
"POINT (144.9695376 -37.8123915)",Point 206,
"POINT (144.9689261 -37.812578)",Point 207,
"POINT (144.9680866 -37.8128153)",Point 208,
"POINT (144.9673372 -37.8152573)",Point 209,
"POINT (144.9677663 -37.8162871)",Point 210,
"POINT (144.9675196 -37.8141046)",Point 211,
"POINT (144.9656179 -37.8135324)",Point 212,
"POINT (144.9670723 -37.8131171)",Point 213,
"POINT (144.9671393 -37.8142148)",Point 214,
"POINT (144.9666566 -37.81324)",Point 215,
"POINT (144.9645144 -37.8182394)",Point 216,
"POINT (144.9641335 -37.8173241)",Point 217,
"POINT (144.9601949 -37.8173728)",Point 218,
"POINT (144.9702978 -37.813275)",Point 219,
"POINT (144.9698311 -37.8123215)",Point 220,
"POINT (144.9720227 -37.8127776)",Point 221,
"POINT (144.9649459 -37.8148452)",Point 222,
"POINT (144.9645194 -37.8138684)",Point 223,
"POINT (144.9645194 -37.814966)",Point 224,
