WKT,Name
"LINESTRING (144.9552706 -37.8153962, 144.9556676 -37.815303, 144.9552275 -37.8143699, 144.9558284 -37.8141623, 144.9566887 -37.8138944, 144.9573191 -37.8137228, 144.9568649 -37.8127552, 144.9564237 -37.8117276, 144.9559389 -37.8107031, 144.9570225 -37.810381, 144.9583958 -37.8099614, 144.9593051 -37.809688, 144.9588277 -37.8086412, 144.9603579 -37.808158, 144.961998 -37.8076187, 144.9627695 -37.807403, 144.9628875 -37.8066909)",line1
"LINESTRING (144.9552706 -37.8153962, 144.9548413 -37.8144462, 144.9543727 -37.8134734, 144.9539326 -37.8124661, 144.9544476 -37.8123135, 144.9549411 -37.812161, 144.9564237 -37.8117276, 144.9559389 -37.8107031, 144.9570225 -37.810381, 144.9583958 -37.8099614, 144.9593051 -37.809688, 144.9588277 -37.8086412, 144.9603579 -37.808158, 144.961998 -37.8076187, 144.9627695 -37.807403, 144.9628875 -37.8066909)",line2
"LINESTRING (144.9552706 -37.8153962, 144.9548413 -37.8144462, 144.9543727 -37.8134734, 144.9549789 -37.8132891, 144.9544476 -37.8123135, 144.9549411 -37.812161, 144.9564237 -37.8117276, 144.9559389 -37.8107031, 144.9570225 -37.810381, 144.9583958 -37.8099614, 144.9593051 -37.809688, 144.9588277 -37.8086412, 144.9603579 -37.808158, 144.961998 -37.8076187, 144.9627695 -37.807403, 144.9628875 -37.8066909)",line3
"LINESTRING (144.9552706 -37.8153962, 144.9548413 -37.8144462, 144.9543727 -37.8134734, 144.9549789 -37.8132891, 144.9544476 -37.8123135, 144.9549411 -37.812161, 144.9564237 -37.8117276, 144.9559389 -37.8107031, 144.9570225 -37.810381, 144.9583958 -37.8099614, 144.9582188 -37.8095376, 144.9578567 -37.8088934, 144.9588277 -37.8086412, 144.9603579 -37.808158, 144.961998 -37.8076187, 144.9627695 -37.807403, 144.9628875 -37.8066909)",line4
