traffic,temperture,relative_humidity,wind_direction,wind_speed,pressure,condition,EPA,PM
4886,73,0.41,2,17,29.45,2,9.283,4.1
8687,90,0.21,1,12,29.33,2,23.583,12.85
6491,70,0.46,1,15,29.56,2,6.533,4.367
6008,72,0.64,1,16,29.3,7,3.617,1.4
5430,99,0.15,11,21,29.1,10,11.383,17.683
4913,50,0.82,1,6,29.74,2,2.0,8.0
7896,91,0.13,7,16,29.3,2,18.333,12.367
4800.0,52,0.76,7,10,29.51,5,5.1,3.111
5383,63,0.82,1,8,29.42,2,3.767,9.283
6227,59,0.55,6,18,29.36,6,4.333,4.983
8882,66,0.56,1,17,29.54,2,6.867,12.983
7408,59,0.51,1,17,29.77,1,13.45,14.283
2682,61,0.63,1,10,29.54,1,7.05,2.817
6678,64,0.59,1,16,29.65,1,2.75,3.4
3316,61,1.0,8,14,29.24,3,3.433,6.55
2160.0,52,0.76,7,10,29.51,5,5.1,3.5
2981,61,0.88,11,7,29.71,2,11.917,6.317
3733,57,0.82,6,1,29.74,2,4.767,6.933
6677,68,0.6,1,5,29.42,2,10.683,15.217
4215,57,0.82,8,15,29.62,1,3.683,4.067
4012,59,0.82,3,9,29.71,1,10.95,3.217
8581,73,0.65,5,13,29.48,1,8.9,7.983
5361,68,0.64,5,5,29.48,2,5.033,11.083
1800.0,52,0.76,7,10,29.51,5,5.1,22.0
3149,61,0.82,2,5,29.39,1,2.933,1.6
7079,61,0.48,1,20,29.77,1,9.483,9.383
2754,55,0.63,2,13,29.45,1,5.917,4.1
3757,72,0.5,11,21,29.42,6,4.4,8.55
7623,68,0.68,1,16,29.45,1,5.667,6.85
6381,82,0.28,3,7,29.3,2,3.817,11.583
6382,64,0.56,1,15,29.56,2,4.367,7.55
7184,64,0.77,6,10,29.74,2,8.05,6.1
2640.0,52,0.76,7,10,29.51,5,5.1,12.0
4452,63,0.82,1,16,29.51,1,4.233,1.717
6860,84,0.42,1,13,29.59,2,12.683,12.233
240.0,52,0.76,7,10,29.51,5,5.1,7.357
3320.0,52,0.76,7,10,29.51,5,5.1,4.0
6896,57,0.82,3,6,29.62,1,3.717,10.8
1834,72,0.64,17,6,29.62,2,7.383,8.583
8655,75,0.61,9,9,29.51,5,1.5,1.033
6306,81,0.37,5,9,29.36,1,2.883,8.85
3735,86,0.27,17,2,29.19,2,2.733,4.833
2694,57,0.59,1,15,29.45,1,1.933,3.183
5764,59,0.77,8,20,29.62,3,3.283,1.067
6847,61,0.52,6,24,29.51,11,7.017,2.417
7510,64,0.73,1,20,29.48,1,4.15,6.033
5748,64,0.59,1,14,29.56,1,7.55,3.233
7801,77,0.36,1,13,29.71,2,6.933,6.717
4465,59,0.94,4,12,29.68,1,5.133,2.033
2939,84,0.2,11,16,29.13,2,1.767,8.733
5383,63,0.82,1,8,29.42,2,3.767,9.283
2583,68,0.73,9,6,29.48,1,4.883,4.767
