traffic,temperture,relative_humidity,wind_direction,wind_speed,pressure,condition,EPA,PM
7428,68,0.46,6,22,29.48,13,4.4,3.967
8138,68,0.6,1,20,29.54,1,0.733,5.067
5595,68,0.83,2,15,29.3,1,0.667,3.017
7118,70,0.4,1,15,29.51,2,7.117,3.183
4297,57,0.55,1,14,29.77,2,3.917,0.35
540.0,52,0.76,7,10,29.51,5,5.1,9.111
7751,57,0.55,1,10,29.71,1,8.617,11.267
5513,95,0.15,11,20,29.1,2,7.833,11.383
7206,90,0.18,4,10,29.39,2,21.35,12.05
2291,70,0.53,11,14,29.42,2,9.083,11.817
1333,57,0.63,6,12,29.39,1,1.917,2.25
4557,63,0.77,4,8,29.33,2,9.75,9.45
7377,68,0.49,4,21,29.45,11,3.967,6.2
3924,55,0.77,4,8,29.59,1,0.783,3.9
6073,63,0.82,1,20,29.48,6,1.567,4.233
7016,95,0.13,11,25,29.3,10,6.517,11.6
7007,72,0.78,4,7,29.48,2,10.517,11.017
3630.0,52,0.76,7,10,29.51,5,5.1,9.755
2430,57,0.82,11,5,29.48,1,1.567,7.0
7240,55,0.72,6,12,29.54,2,4.117,5.75
6954,64,0.45,1,16,29.54,2,9.367,11.733
3953,57,0.77,1,8,29.54,2,4.733,1.867
7173,77,0.5,3,13,29.04,7,3.7,7.6
7446,72,0.33,10,7,29.68,2,12.55,13.583
4345,66,0.88,2,6,29.33,1,3.3,0.967
5747,73,0.53,17,3,29.48,2,2.65,5.0
2013,61,1.0,4,14,29.24,3,2.317,3.433
6752,59,0.77,5,6,29.48,2,3.967,5.567
6851,63,0.42,1,18,29.77,1,14.283,9.483
1287,59,0.88,1,14,29.54,6,3.567,0.833
4146,57,0.94,11,6,29.62,1,4.183,4.8
2970.0,52,0.76,7,10,29.51,5,5.1,5.0
6600,70,0.49,1,15,29.54,2,2.1,2.65
3220.0,52,0.76,7,10,29.51,5,5.1,3.9
5957,79,0.47,8,9,29.19,4,5.433,5.767
7806,64,0.49,6,21,29.48,13,9.517,4.4
2040.0,52,0.76,7,10,29.51,5,5.1,8.4
4429,54,0.77,8,8,29.59,2,5.883,0.783
6375,66,0.68,6,13,29.45,1,13.517,7.4
7152,61,0.88,4,12,29.71,2,8.717,4.967
3762,55,0.82,3,6,29.74,2,6.933,7.083
1980.0,52,0.76,7,10,29.51,5,5.1,15.333
7853,73,0.44,3,14,29.45,2,9.367,9.283
3757,72,0.5,11,21,29.42,6,4.4,8.55
7435,66,0.26,4,26,29.3,10,2.2,7.45
7109,64,0.37,4,22,29.33,11,1.733,2.2
1320.0,52,0.76,7,10,29.51,5,5.1,2.938
1456,61,0.88,4,16,29.27,5,6.05,2.317
2582,79,0.47,17,13,29.59,2,8.583,10.483
6010,90,0.22,1,14,29.48,2,12.867,8.183
1241,68,0.73,7,1,29.62,2,10.1,7.383
4964,82,0.42,3,7,29.48,2,11.083,9.033
5082,57,0.59,3,15,29.68,1,8.8,8.617
3330.0,52,0.76,7,10,29.51,5,5.1,9.625
3858,63,0.77,6,20,29.27,1,7.65,0.15
9223,88,0.24,2,14,29.3,2,12.85,17.917
4585,90,0.18,11,12,29.24,2,0.75,5.6
4403,63,0.77,1,8,29.45,1,4.75,6.467
6554,70,0.56,2,8,29.74,4,4.317,1.55
6820,63,0.88,3,15,29.24,6,1.55,5.8
3570.0,52,0.76,7,10,29.51,5,5.1,5.0
6240,91,0.26,1,12,29.48,2,7.089,12.867
3760.0,52,0.76,7,10,29.51,5,5.1,2.824
3570.0,52,0.76,7,10,29.51,5,5.1,5.0
6491,70,0.46,1,15,29.56,2,6.533,4.367
3068,57,0.94,8,9,29.68,1,7.3,10.583
2821,63,0.68,11,3,29.3,2,8.933,4.75
3706,64,0.52,2,14,29.62,1,1.733,4.233
6709,64,0.4,1,18,29.77,4,9.383,9.033
4044,97,0.17,11,5,29.19,2,9.867,2.733
3382,61,1.0,1,16,29.36,14,3.4,2.883
3140.0,52,0.76,7,10,29.51,5,5.1,7.636
6840,68,0.46,1,10,29.45,1,0.983,5.35
7328,95,0.12,11,23,29.27,10,11.6,4.567
7541,63,0.48,2,17,29.54,4,7.217,9.517
3627,52,0.94,4,8,29.54,2,2.433,7.633
7408,59,0.51,1,17,29.77,1,13.45,14.283
3840.0,52,0.76,7,10,29.51,5,5.1,4.167
6962,63,0.77,1,14,29.24,1,5.8,5.333
3420.0,52,0.76,7,10,29.51,5,5.1,18.0
7284,61,0.55,6,18,29.51,1,2.417,5.5
7013,64,0.42,1,6,29.74,2,14.883,9.283
7152,61,0.88,4,12,29.71,2,8.717,4.967
3541,55,0.82,6,9,29.56,1,3.05,3.317
4675,100,0.11,11,9,29.22,2,11.7,9.867
5864,59,0.94,4,9,29.71,2,4.967,6.617
608,55,1.0,3,14,29.54,9,5.333,3.95
5538,59,0.82,4,8,29.77,2,3.467,4.7
5389,66,0.73,8,10,29.71,2,3.7,8.05
2686,52,0.88,4,15,29.42,2,1.717,6.867
4177,64,0.94,8,10,29.33,1,6.633,4.65
4356,86,0.35,2,7,29.36,2,9.117,9.9
3070,57,0.67,1,15,29.42,1,2.183,1.933
7743,66,0.78,8,8,29.45,2,9.3,4.767
8695,75,0.34,1,14,29.62,2,12.7,7.683
6805,81,0.37,1,10,29.59,2,9.483,12.617
3070,57,0.67,1,15,29.42,1,2.183,1.933
4320,57,0.59,1,13,29.77,1,0.35,5.467
7104,82,0.35,11,7,29.65,2,4.133,10.033
7585,79,0.36,1,15,29.33,2,18.25,10.75
3680.0,52,0.76,7,10,29.51,5,5.1,5.1
2465,55,0.88,7,7,29.48,1,7.517,6.517
7443,64,0.49,4,20,29.48,4,5.5,9.517
6657,63,0.88,1,18,29.45,1,7.317,5.9
6571,66,0.83,5,5,29.42,8,2.617,5.017
7143,79,0.42,1,13,29.42,2,14.333,10.517
6029,72,0.64,6,8,29.24,1,5.1,4.35
3350.0,52,0.76,7,10,29.51,5,5.1,5.0
8655,75,0.61,9,9,29.51,5,1.5,1.033
3445,57,0.67,3,10,29.65,1,5.017,7.567
1799,52,0.88,6,12,29.42,2,6.867,1.117
4146,57,0.94,11,6,29.62,1,4.183,4.8
5478,66,0.6,2,17,29.48,2,4.1,3.783
3213,61,0.63,3,10,29.54,5,2.2,7.05
9454,72,0.43,1,16,29.59,2,7.683,15.417
4672,70,0.46,2,16,29.74,2,1.417,3.75
4114,82,0.39,5,17,29.54,2,5.5,5.233
4446,57,0.94,11,3,29.59,2,13.9,21.717
7605,77,0.39,2,7,29.74,2,2.383,6.517
2820.0,52,0.76,7,10,29.51,5,5.1,15.0
5276,81,0.24,1,7,29.3,2,6.067,7.517
4236,61,0.94,4,10,29.68,1,2.033,6.033
2502,61,0.72,11,9,29.3,2,4.75,7.683
7995,64,0.68,9,5,29.45,2,5.567,10.683
3300.0,52,0.76,7,10,29.51,5,5.1,10.0
7240,64,1.0,5,16,29.36,14,7.933,4.233
3462,66,0.73,6,22,29.39,10,20.5,12.317
5343,59,1.0,3,17,29.36,3,1.983,7.817
5087,75,0.57,8,6,29.33,7,11.217,7.633
5160.0,52,0.76,7,10,29.51,5,5.1,4.333
3367,75,0.38,11,16,29.42,2,11.817,8.967
6722,81,0.42,3,14,29.04,7,4.567,3.7
6435,79,0.44,1,14,29.33,2,11.55,5.45
2076,68,0.6,11,24,29.45,10,2.483,8.1
3500,55,0.63,10,8,29.74,1,2.867,1.083
4675,100,0.11,11,9,29.22,2,11.7,9.867
4060.0,52,0.76,7,10,29.51,5,5.1,11.333
3843,59,0.94,13,1,29.62,3,4.533,4.65
5975,77,0.54,3,9,29.3,7,8.467,3.617
5986,64,0.42,8,14,29.62,4,14.983,9.083
3893,54,0.94,7,10,29.56,2,4.183,6.817
4480,68,0.83,9,6,29.04,7,3.0,3.45
4230.0,52,0.76,7,10,29.51,5,5.1,2.333
5112,68,0.52,3,12,29.62,2,6.383,3.783
5538,59,0.82,4,8,29.77,2,3.467,4.7
3950,61,0.68,3,10,29.54,2,1.183,0.967
4099,50,0.82,4,10,29.56,1,8.133,9.833
4007,61,0.82,11,7,29.36,2,4.75,8.15
5143,63,0.63,2,12,29.74,2,3.25,3.983
6521,70,0.53,1,15,29.56,2,0.417,2.1
3843,59,0.94,13,1,29.62,3,4.533,4.65
4758,61,0.82,1,13,29.68,7,5.083,4.617
8331,63,0.45,1,20,29.74,2,9.967,3.683
496,55,0.82,4,6,29.42,4,7.317,13.483
8037,61,0.72,8,14,29.48,1,9.317,5.917
3300.0,52,0.76,7,10,29.51,5,5.1,12.0
1815,68,0.64,5,6,29.36,2,2.833,6.2
5158,99,0.18,14,3,29.24,2,15.683,11.217
6906,63,0.88,3,16,29.22,3,9.1,1.55
8067,61,0.88,4,9,29.71,2,6.1,8.717
4091,64,0.73,5,5,29.45,2,8.183,10.35
7450,70,0.6,6,2,29.56,1,12.033,7.683
3953,61,0.94,11,7,29.68,1,6.033,6.683
5289,61,1.0,1,16,29.39,3,0.983,2.483
7178,75,0.36,8,20,29.54,2,5.083,8.567
2076,68,0.6,11,24,29.45,10,2.483,8.1
5728,68,0.78,2,13,29.3,6,1.4,0.667
3260.0,52,0.76,7,10,29.51,5,5.1,11.815
1800.0,52,0.76,7,10,29.51,5,5.1,7.5
3142,59,0.88,11,5,29.36,2,8.15,5.233
4132,81,0.39,9,14,29.48,2,3.05,5.717
8091,75,0.57,14,8,29.51,5,6.767,1.5
3470,55,0.82,4,8,29.56,1,8.333,3.05
2119,66,0.73,14,8,29.45,1,4.767,4.1
3300.0,52,0.76,7,10,29.51,5,5.1,12.0
3760,70,0.83,8,9,28.98,7,4.933,11.65
7597,63,1.0,11,6,29.39,14,8.217,7.2
3827,61,0.94,1,15,29.39,3,0.15,3.117
6847,61,0.52,6,24,29.51,11,7.017,2.417
2910.0,52,0.76,7,10,29.51,5,5.1,9.0
6921,68,0.46,1,14,29.56,2,4.45,6.533
7104,82,0.35,11,7,29.65,2,4.133,10.033
6375,66,0.68,6,13,29.45,1,13.517,7.4
6406,72,0.57,10,6,29.45,2,16.283,12.6
769,59,0.82,1,15,29.54,3,0.833,5.333
4890,48,0.82,11,8,29.33,2,3.1,5.617
1800.0,52,0.76,7,10,29.51,5,5.1,22.0
6391,97,0.14,11,24,29.33,10,6.05,6.517
8177,70,0.43,1,8,29.39,1,8.85,8.217
4443,75,0.36,8,6,29.3,2,7.517,8.067
6851,63,0.94,7,6,29.24,1,5.8,0.517
2705,59,0.88,11,8,29.36,2,7.9,4.467
4480,68,0.83,9,6,29.04,7,3.0,3.45
5970,59,0.82,1,14,29.71,1,1.733,1.983
1714,61,0.82,4,6,29.51,2,3.917,2.6
8754,81,0.45,2,8,29.3,2,16.15,10.55
6061,90,0.22,11,18,29.42,2,13.733,10.433
2220.0,52,0.76,7,10,29.51,5,5.1,6.0
780.0,52,0.76,7,10,29.51,5,5.1,5.0
7743,66,0.78,8,8,29.45,2,9.3,4.767
7126,63,0.72,1,16,29.51,1,6.033,3.85
5957,59,1.0,3,18,29.39,9,7.817,4.133
4836,63,0.63,1,15,29.54,2,7.0,2.667
5957,59,1.0,3,18,29.39,9,7.817,4.133
3316,61,1.0,8,14,29.24,3,3.433,6.55
4539,55,0.88,4,10,29.59,2,4.367,4.183
7281,64,0.56,1,20,29.65,1,3.4,4.533
1310,52,0.88,4,12,29.42,6,1.617,3.117
6871,61,0.77,3,7,29.62,2,4.417,0.533
7758,75,0.44,2,18,29.68,4,2.233,6.067
7910,72,0.57,1,20,29.54,2,8.567,0.733
6932,66,0.46,1,10,29.48,1,8.433,11.933
5343,59,1.0,3,17,29.36,3,1.983,7.817
8219,68,0.94,11,17,29.24,8,7.983,4.683
5454,61,1.0,1,15,29.42,3,2.483,1.267
4683,66,0.88,3,9,29.33,1,0.967,6.633
5489,61,1.0,1,16,29.45,3,1.267,5.683
6887,64,0.45,1,15,29.54,2,9.517,9.367
7451,50,0.76,11,10,29.33,2,5.617,3.133
2278,61,0.82,1,6,29.51,2,2.817,3.917
4405,64,0.64,3,9,29.62,2,3.783,4.417
7204,73,0.5,1,12,29.74,4,1.55,1.017
6984,73,0.44,3,3,29.77,2,10.517,2.383
7562,63,0.82,7,8,29.42,2,4.767,6.65
6597,68,0.56,1,13,29.54,1,3.5,3.367
8320,72,0.64,2,16,29.45,1,7.4,5.667
3933,61,0.82,11,7,29.45,2,2.6,1.933
2036,63,1.0,4,10,29.3,15,5.317,4.75
6493,66,0.64,2,9,29.77,4,7.95,4.317
5958,59,0.67,3,12,29.65,5,6.85,7.1
8855,72,0.41,2,12,29.39,2,8.217,13.483
3325,63,1.0,4,8,29.3,7,4.75,6.833
7398,70,0.46,1,17,29.51,2,3.183,5.0
7134,57,0.55,3,15,29.71,1,11.267,14.1
8107,70,0.53,1,14,29.59,2,15.417,6.383
6913,79,0.34,5,8,29.48,2,6.517,11.167
5735,54,0.94,7,8,29.77,2,1.017,3.467
5478,66,0.6,2,17,29.48,2,4.1,3.783
2690,61,0.94,15,0,29.39,1,4.483,7.117
8146,68,0.88,11,15,29.3,8,5.55,2.817
4009,59,0.77,2,10,29.74,2,3.983,4.767
5000,61,0.55,6,20,29.48,4,14.433,7.933
7732,64,0.94,5,9,29.42,14,7.683,12.683
3356,57,0.94,1,9,29.71,1,10.433,3.717
4083,70,0.73,3,12,29.07,2,3.933,10.7
7890,79,0.42,1,14,29.36,2,11.533,8.35
840.0,52,0.76,7,10,29.51,5,5.1,5.0
2763,54,0.82,4,13,29.45,1,3.117,2.25
7148,63,0.48,1,9,29.74,2,12.417,14.883
8628,63,0.77,4,8,29.65,2,8.217,1.967
1815,68,0.64,5,6,29.36,2,2.833,6.2
7683,77,0.36,3,9,29.71,2,5.933,6.933
6688,68,0.43,2,12,29.56,2,9.283,4.45
5421,63,0.77,3,6,29.74,1,5.6,3.233
4946,59,0.94,4,10,29.68,4,6.617,5.133
9672,72,0.53,3,15,29.45,1,6.167,9.367
6940,72,0.41,2,6,29.33,2,14.233,15.183
2046,59,0.88,1,13,29.54,6,0.817,3.567
5735,88,0.29,1,12,29.48,2,8.183,11.083
8185,63,0.72,1,15,29.54,1,11.583,8.4
4369,63,1.0,4,7,29.27,3,2.983,7.983
6417,82,0.39,1,13,29.33,2,5.983,8.567
3885.0,52,0.76,7,10,29.51,5,5.1,16.857
7306,63,0.82,3,7,29.45,1,3.883,7.4
7585,79,0.36,1,15,29.33,2,18.25,10.75
4350.0,52,0.76,7,10,29.51,5,5.1,4.625
1310,52,0.88,4,12,29.42,6,1.617,3.117
6906,63,0.88,3,16,29.22,3,9.1,1.55
1826,54,0.77,4,12,29.59,1,5.417,8.05
7290,84,0.35,5,5,29.65,2,10.033,13.283
7416,70,0.53,1,16,29.51,2,2.517,9.017
7096,75,0.47,8,14,29.33,2,10.55,11.217
3627,54,0.94,12,8,29.54,2,6.817,3.617
6597,68,0.56,1,13,29.54,1,3.5,3.367
8810,68,0.94,5,16,29.27,8,2.817,7.983
3930.0,52,0.76,7,10,29.51,5,5.1,9.0
3701,59,0.94,3,13,29.42,9,4.3,0.15
6102,75,0.47,1,13,29.62,2,12.617,9.717
3325,63,1.0,4,8,29.3,7,4.75,6.833
6182,70,0.64,3,12,29.71,2,6.617,3.7
2579,59,0.88,15,0,29.36,2,8.2,7.9
6305,66,0.73,4,12,29.33,2,6.917,9.75
4147,72,0.6,5,7,29.3,2,7.633,13.6
5242,59,0.94,7,6,29.62,1,4.467,8.2
2735,64,0.83,15,0,29.65,5,8.15,11.9
2782,55,0.58,1,16,29.45,1,3.183,5.917
3600.0,52,0.76,7,10,29.51,5,5.1,5.5
3946,84,0.22,11,12,29.16,2,8.55,1.767
4148,70,0.78,11,8,29.45,2,8.617,8.467
4260.0,52,0.76,7,10,29.51,5,5.1,10.0
5171,64,0.94,6,9,29.3,5,4.65,1.7
4179,57,0.82,3,6,29.54,2,4.367,2.483
7111,63,0.82,3,9,29.42,2,9.283,3.883
3510.0,52,0.76,7,10,29.51,5,5.1,8.571
4717,59,0.72,1,17,29.42,1,0.083,2.283
1143,61,0.94,8,8,29.33,1,6.567,7.967
3510.0,52,0.76,7,10,29.51,5,5.1,8.571
7876,66,0.94,11,18,29.33,14,4.233,1.55
7075,73,0.73,4,8,29.48,2,9.033,10.517
6941,70,0.53,1,14,29.54,1,4.333,9.483
6993,57,0.88,4,9,29.62,2,0.533,0.833
5241,68,0.83,11,10,29.07,2,3.117,3.0
6263,70,0.88,11,20,29.27,1,4.683,7.983
6446,86,0.4,2,8,29.56,2,10.983,15.983
1380.0,52,0.76,7,10,29.51,5,5.1,6.211
7249,61,1.0,1,17,29.45,3,5.9,9.95
4747,68,0.83,2,9,29.3,1,3.017,3.3
1456,61,0.88,4,16,29.27,5,6.05,2.317
3149,61,0.82,2,5,29.39,1,2.933,1.6
3627,55,0.77,6,8,29.56,1,3.9,8.333
6913,79,0.34,5,8,29.48,2,6.517,11.167
4672,70,0.46,2,16,29.74,2,1.417,3.75
6360,63,0.63,1,15,29.65,1,4.733,5.317
3260.0,52,0.76,7,10,29.51,5,5.1,11.815
6714,64,0.59,6,22,29.48,12,6.2,2.833
4019,88,0.19,11,10,29.24,2,5.6,4.983
4236,61,0.94,4,10,29.68,1,2.033,6.033
3630.0,52,0.76,7,10,29.51,5,5.1,9.755
5278,66,0.68,8,10,29.45,4,8.65,13.517
9454,72,0.43,1,16,29.59,2,7.683,15.417
7891,55,0.88,4,9,29.45,4,10.95,11.167
7609,75,0.29,1,9,29.65,2,10.883,17.65
4091,64,0.73,5,5,29.45,2,8.183,10.35
2705,59,0.88,11,8,29.36,2,7.9,4.467
7290,84,0.35,5,5,29.65,2,10.033,13.283
6380,64,0.73,1,16,29.24,1,5.333,0.717
6202,59,0.55,6,21,29.48,11,7.933,7.017
7656,79,0.39,2,12,29.33,2,10.75,11.533
7718,52,0.76,15,0,29.74,2,8.0,9.3
3140.0,52,0.76,7,10,29.51,5,5.1,7.636
2107,63,0.88,11,5,29.65,5,8.417,8.15
3845,57,0.94,1,3,29.62,1,4.8,4.533
6984,73,0.44,3,3,29.77,2,10.517,2.383
2953,57,0.94,7,7,29.54,1,1.317,3.117
6222,57,0.72,3,15,29.65,1,2.917,6.85
7348,68,0.68,8,13,29.45,5,7.4,4.9
3517,54,0.88,13,5,29.54,2,3.617,2.433
4709,63,0.94,4,6,29.24,1,5.05,5.8
1620.0,52,0.76,7,10,29.51,5,5.1,16.556
7173,77,0.5,3,13,29.04,7,3.7,7.6
8523,61,0.52,6,23,29.3,13,8.217,7.2
4009,59,0.77,2,10,29.74,2,3.983,4.767
6231,73,0.41,6,17,29.54,2,7.583,5.083
2958,68,0.73,17,12,29.39,1,0.017,2.617
4996,59,0.72,8,9,29.62,1,0.833,3.683
4606,59,0.94,12,8,29.59,2,5.35,13.9
6851,63,0.94,7,6,29.24,1,5.8,0.517
6321,84,0.22,11,18,29.13,2,4.333,7.833
6221,81,0.39,1,14,29.04,2,6.85,4.567
5112,68,0.52,3,12,29.62,2,6.383,3.783
6651,91,0.26,3,7,29.54,2,14.917,13.233
4747,68,0.83,2,9,29.3,1,3.017,3.3
8628,63,0.77,4,8,29.65,2,8.217,1.967
3833,63,1.0,6,6,29.27,15,8.333,2.983
9271,72,0.57,1,16,29.36,2,7.567,8.15
4691,55,0.82,7,7,29.56,1,3.317,2.85
4340,61,0.82,14,5,29.42,1,4.217,8.183
957,61,0.94,6,7,29.33,1,7.967,0.967
6846,64,0.56,8,14,29.48,1,5.917,7.183
2951,59,0.94,15,0,29.59,2,21.717,17.367
3845,57,0.94,1,3,29.62,1,4.8,4.533
6231,73,0.41,6,17,29.54,2,7.583,5.083
6905,68,0.43,1,14,29.59,2,6.333,9.283
1759,66,0.78,14,9,29.39,5,3.283,0.017
6059,75,0.53,3,14,29.36,2,5.45,15.833
7620,64,0.59,1,18,29.62,1,4.533,3.383
4659,52,0.94,12,9,29.74,2,2.933,1.017
4134,64,0.73,6,8,29.42,4,9.633,8.65
3600.0,52,0.76,7,10,29.51,5,5.1,12.2
3450.0,52,0.76,7,10,29.51,5,5.1,15.778
4147,72,0.6,5,7,29.3,2,7.633,13.6
957,61,0.94,6,7,29.33,1,7.967,0.967
9672,72,0.53,3,15,29.45,1,6.167,9.367
3450.0,52,0.76,7,10,29.51,5,5.1,15.778
862,52,0.82,4,14,29.42,4,7.6,1.617
3668,54,0.88,4,6,29.74,2,7.083,4.533
3390.0,52,0.76,7,10,29.51,5,5.1,7.444
3139,57,0.94,17,5,29.36,2,5.233,8.2
862,52,0.82,4,14,29.42,4,7.6,1.617
3728,50,0.76,12,6,29.33,2,2.25,3.1
9211,63,0.48,1,18,29.74,2,3.683,5.2
7519,73,0.53,16,7,29.54,2,7.833,1.517
6749,70,0.53,6,5,29.77,2,7.65,10.517
4117,63,0.68,1,17,29.33,4,7.283,0.083
8167,72,0.43,4,5,29.42,1,3.15,8.85
3779,59,0.67,6,17,29.48,1,2.25,14.433
4161,50,0.87,4,10,29.56,1,4.15,8.133
5303,54,0.77,4,10,29.56,4,3.167,4.15
2754,55,0.63,2,13,29.45,1,5.917,4.1
6477,55,0.63,11,7,29.33,2,3.133,3.983
7348,68,0.68,8,13,29.45,5,7.4,4.9
9082,77,0.44,1,14,29.33,2,9.483,7.567
7555,77,0.5,14,10,29.51,2,2.733,6.767
6858,70,0.53,1,14,29.51,2,9.483,2.517
1799,52,0.88,6,12,29.42,2,6.867,1.117
8228,75,0.41,10,18,29.68,2,2.733,11.65
5082,57,0.59,3,15,29.68,1,8.8,8.617
4585,90,0.18,11,12,29.24,2,0.75,5.6
4974,66,0.49,2,10,29.62,4,4.233,4.583
3445,57,0.67,3,10,29.65,1,5.017,7.567
7204,73,0.5,1,12,29.74,4,1.55,1.017
4230.0,52,0.76,7,10,29.51,5,5.1,8.307
8482,64,0.94,17,9,29.42,14,8.317,7.683
5137,59,0.77,8,7,29.54,2,0.967,4.367
2850.0,52,0.76,7,10,29.51,5,5.1,9.211
4556,59,0.94,11,8,29.68,1,7.717,11.917
7188,63,1.0,5,10,29.39,14,12.683,8.217
6360,63,0.63,1,15,29.65,1,4.733,5.317
8342,64,0.42,1,20,29.74,4,0.95,9.967
8185,63,0.72,1,15,29.54,1,11.583,8.4
7575,90,0.22,1,9,29.36,2,12.05,13.617
5176,68,0.88,11,18,29.27,1,7.983,2.45
4229,82,0.3,5,15,29.48,1,5.5,1.8
7727,68,0.52,1,17,29.51,2,9.017,6.867
8580,63,0.42,6,20,29.3,2,7.2,5.267
6917,68,0.73,4,9,29.33,2,8.067,6.917
3681,82,0.39,5,16,29.56,2,2.5,5.5
6865,66,0.56,1,15,29.54,2,12.983,7.0
3120.0,52,0.76,7,10,29.51,5,5.1,7.0
4340,61,0.82,14,5,29.42,1,4.217,8.183
2970.0,52,0.76,7,10,29.51,5,5.1,5.0
4961,52,0.94,7,8,29.54,2,7.633,6.833
4886,73,0.41,2,17,29.45,2,9.283,4.1
4836,63,0.63,1,15,29.54,2,7.0,2.667
6602,57,0.72,11,3,29.3,2,5.833,12.55
7671,61,0.88,4,6,29.56,2,5.517,3.733
3092,61,0.59,1,12,29.56,1,2.817,1.733
6365,66,0.6,6,7,29.77,2,12.133,7.65
7519,64,0.42,1,18,29.74,2,5.617,0.95
7240,64,1.0,5,16,29.36,14,7.933,4.233
7368,55,0.88,6,8,29.56,3,2.85,5.55
7109,64,0.37,4,22,29.33,11,1.733,2.2
6481,66,0.6,1,15,29.54,1,4.9,3.5
6391,97,0.14,11,24,29.33,10,6.05,6.517
4529,59,1.0,3,13,29.3,3,6.55,5.667
5822,63,0.82,1,10,29.45,1,7.4,4.75
6252,81,0.37,5,7,29.3,7,8.85,8.467
3421,59,0.88,3,8,29.68,1,3.217,7.3
5516,63,0.72,1,20,29.39,1,4.35,7.25
2759,64,0.94,6,14,29.33,1,2.45,1.35
2640.0,52,0.76,7,10,29.51,5,5.1,12.0
6285,59,0.67,1,13,29.65,5,7.1,4.733
7435,66,0.26,4,26,29.3,10,2.2,7.45
3635,63,0.77,1,7,29.51,2,0.1,2.817
7198,66,0.46,3,12,29.48,1,11.933,0.983
5931,73,0.61,3,9,29.04,2,7.6,7.283
3840.0,52,0.76,7,10,29.51,5,5.1,4.167
4345,66,0.88,2,6,29.33,1,3.3,0.967
5171,64,0.94,6,9,29.3,5,4.65,1.7
4179,57,0.82,3,6,29.54,2,4.367,2.483
7169,68,0.49,1,13,29.45,1,5.35,3.15
3735,86,0.27,17,2,29.19,2,2.733,4.833
1444,63,0.94,8,8,29.33,7,1.35,6.567
6511,95,0.18,11,22,29.39,10,6.183,6.05
6860,84,0.42,1,13,29.59,2,12.683,12.233
7118,70,0.4,1,15,29.51,2,7.117,3.183
6867,91,0.16,12,12,29.3,2,17.983,18.333
8866,72,0.5,3,17,29.48,2,7.767,6.167
3421,59,0.88,3,8,29.68,1,3.217,7.3
5420,97,0.18,16,7,29.3,2,11.467,20.817
3434,64,0.94,3,12,29.16,1,3.483,9.1
5387,99,0.17,2,8,29.27,2,20.817,15.683
5144,66,0.83,8,5,29.27,1,7.067,5.1
5595,68,0.83,2,15,29.3,1,0.667,3.017
3336,57,0.59,2,12,29.77,1,7.65,5.367
8581,73,0.65,5,13,29.48,1,8.9,7.983
3843,59,0.94,12,3,29.65,5,4.65,8.417
6678,64,0.59,1,16,29.65,1,2.75,3.4
6896,57,0.82,3,6,29.62,1,3.717,10.8
5194,73,0.61,17,13,29.48,1,7.983,2.3
6315,82,0.26,5,10,29.19,2,7.317,8.55
2939,84,0.2,11,16,29.13,2,1.767,8.733
4709,72,0.69,3,9,29.04,2,7.283,3.933
5553,70,0.78,7,6,29.48,2,11.017,8.617
4202,84,0.33,9,13,29.51,4,5.233,8.933
7519,64,0.42,1,18,29.74,2,5.617,0.95
2983,61,0.77,11,12,29.36,2,4.467,2.833
3720.0,52,0.76,7,10,29.51,5,5.1,4.75
1834,72,0.64,17,6,29.62,2,7.383,8.583
4539,55,0.88,4,10,29.59,2,4.367,4.183
4333,61,1.0,1,15,29.39,3,2.883,0.983
7656,79,0.39,2,12,29.33,2,10.75,11.533
7992,70,0.43,3,3,29.33,2,10.783,14.233
4020.0,52,0.76,7,10,29.51,5,5.1,8.571
5377,73,0.65,17,6,29.62,2,13.117,13.55
4998,57,0.94,12,5,29.59,2,5.1,5.35
3990,59,0.77,3,8,29.45,1,2.867,1.267
5621,102,0.12,11,18,29.07,2,17.683,5.15
8177,70,0.43,1,8,29.39,1,8.85,8.217
7169,68,0.49,1,13,29.45,1,5.35,3.15
7484,70,0.46,1,9,29.39,2,13.483,1.183
6917,68,0.73,4,9,29.33,2,8.067,6.917
5373,59,1.0,3,15,29.33,3,2.617,1.983
4890,48,0.82,11,8,29.33,2,3.1,5.617
3775,63,0.82,5,6,29.45,2,4.7,2.6
2380,54,0.94,6,6,29.45,2,4.983,10.95
5405,70,0.6,9,3,29.45,2,10.35,16.283
8397,59,0.77,6,13,29.59,7,2.417,7.05
6010,90,0.22,1,14,29.48,2,12.867,8.183
1587,61,0.82,8,2,29.51,1,2.6,1.317
3382,61,1.0,1,16,29.36,14,3.4,2.883
3680.0,52,0.76,7,10,29.51,5,5.1,5.1
7291,72,0.53,10,6,29.56,2,7.683,7.833
8412,59,0.55,3,16,29.74,1,14.1,13.45
1380.0,52,0.76,7,10,29.51,5,5.1,5.0
2583,68,0.73,9,6,29.48,1,4.883,4.767
5666,61,0.77,1,15,29.54,1,2.3,1.283
2958,68,0.73,17,12,29.39,1,0.017,2.617
5822,63,0.82,1,10,29.45,1,7.4,4.75
6714,61,0.88,1,17,29.39,3,10.033,4.233
7100,57,0.67,10,8,29.77,2,9.3,8.167
6960,66,0.46,1,16,29.51,2,11.733,7.117
4717,59,0.72,1,17,29.42,1,0.083,2.283
